lag,tenant-b:memory_usage:value -> tenant-a:cpu_usage_variability:value p-value,tenant-b:memory_usage:value -> tenant-a:cpu_usage_variability:value significant,tenant-a:cpu_usage_variability:value -> tenant-b:memory_usage:value p-value,tenant-a:cpu_usage_variability:value -> tenant-b:memory_usage:value significant
1,0.001781571905068885,True,0.16101411023449527,False
2,0.0002699806746693134,True,0.45242333189632067,False
3,2.1603092821227907e-05,True,0.25004938787581965,False
4,3.8477908661530145e-05,True,0.03567377804537511,True
5,6.765241472282868e-05,True,0.02881042000075731,True
