lag,tenant-b:disk_throughput_total:value -> tenant-c:network_receive:value p-value,tenant-b:disk_throughput_total:value -> tenant-c:network_receive:value significant,tenant-c:network_receive:value -> tenant-b:disk_throughput_total:value p-value,tenant-c:network_receive:value -> tenant-b:disk_throughput_total:value significant
1,0.6919878459042645,False,8.01393734687283e-06,True
2,0.46208225242201584,False,3.535787034628211e-08,True
3,0.4722228390121448,False,1.1811547013781066e-05,True
4,0.6919609443260548,False,2.1629123212191415e-05,True
5,0.9509906421573424,False,3.3109247400617964e-06,True
