lag,tenant-b:network_packet_rate:value -> tenant-d:network_packet_rate:value p-value,tenant-b:network_packet_rate:value -> tenant-d:network_packet_rate:value significant,tenant-d:network_packet_rate:value -> tenant-b:network_packet_rate:value p-value,tenant-d:network_packet_rate:value -> tenant-b:network_packet_rate:value significant
1,0.46379530293331717,False,0.5542575561289352,False
2,0.00704684681833326,True,2.3136785368067852e-10,True
3,0.0025323167085492277,True,1.1670217954128133e-15,True
4,0.08269286515887962,False,3.034244417705399e-15,True
5,0.2273231653773429,False,1.930680832888608e-14,True
