lag,tenant-b:network_packet_rate:value -> tenant-a:network_transmit:value p-value,tenant-b:network_packet_rate:value -> tenant-a:network_transmit:value significant,tenant-a:network_transmit:value -> tenant-b:network_packet_rate:value p-value,tenant-a:network_transmit:value -> tenant-b:network_packet_rate:value significant
1,0.017319159772461963,True,0.21682465699483797,False
2,0.13283248071865686,False,0.13451553335845812,False
3,0.613847669259141,False,0.0004121881388155165,True
4,0.5327613104696445,False,1.508599012708965e-05,True
5,0.09502482618291595,False,0.0001555479360679797,True
