NAMESPACE     NAME                                                     READY   STATUS    RESTARTS      AGE     IP               NODE        NOMINATED NODE   READINESS GATES
kube-system   calico-kube-controllers-5745477d4d-td6lh                 1/1     Running   0             36m     10.244.224.130   noisy-lab   <none>           <none>
kube-system   calico-node-n6xjv                                        1/1     Running   0             36m     192.168.49.2     noisy-lab   <none>           <none>
kube-system   coredns-668d6bf9bc-5sz7c                                 1/1     Running   0             36m     10.244.224.129   noisy-lab   <none>           <none>
kube-system   etcd-noisy-lab                                           1/1     Running   0             36m     192.168.49.2     noisy-lab   <none>           <none>
kube-system   kube-apiserver-noisy-lab                                 1/1     Running   0             36m     192.168.49.2     noisy-lab   <none>           <none>
kube-system   kube-controller-manager-noisy-lab                        1/1     Running   0             36m     192.168.49.2     noisy-lab   <none>           <none>
kube-system   kube-proxy-q4r84                                         1/1     Running   0             36m     192.168.49.2     noisy-lab   <none>           <none>
kube-system   kube-scheduler-noisy-lab                                 1/1     Running   0             36m     192.168.49.2     noisy-lab   <none>           <none>
kube-system   storage-provisioner                                      1/1     Running   1 (35m ago)   36m     192.168.49.2     noisy-lab   <none>           <none>
monitoring    alertmanager-prometheus-kube-prometheus-alertmanager-0   2/2     Running   0             33m     10.244.224.135   noisy-lab   <none>           <none>
monitoring    prometheus-grafana-d5976fb6d-5xcrr                       3/3     Running   0             34m     10.244.224.133   noisy-lab   <none>           <none>
monitoring    prometheus-kube-prometheus-operator-58dbc8bb4f-kz5c6     1/1     Running   0             34m     10.244.224.134   noisy-lab   <none>           <none>
monitoring    prometheus-kube-state-metrics-5bc7f89f46-rwqr7           1/1     Running   0             34m     10.244.224.132   noisy-lab   <none>           <none>
monitoring    prometheus-prometheus-kube-prometheus-prometheus-0       2/2     Running   0             33m     10.244.224.136   noisy-lab   <none>           <none>
monitoring    prometheus-prometheus-node-exporter-7l7zs                1/1     Running   0             34m     192.168.49.2     noisy-lab   <none>           <none>
tenant-a      cpu-stress-655b6bd675-xnjjp                              1/1     Running   0             4m3s    10.244.224.144   noisy-lab   <none>           <none>
tenant-a      iperf-server-5c44d6db7-6pxdb                             1/1     Running   0             4m3s    10.244.224.145   noisy-lab   <none>           <none>
tenant-a      memory-stress-7d546f95f7-jrj8r                           1/1     Running   0             4m3s    10.244.224.146   noisy-lab   <none>           <none>
tenant-c      cpu-stress-5d46db5d49-848jt                              1/1     Running   0             3m47s   10.244.224.147   noisy-lab   <none>           <none>
tenant-c      iperf-client-69bf9df696-wnq65                            1/1     Running   0             3m47s   10.244.224.149   noisy-lab   <none>           <none>
tenant-c      memory-stress-df7cf5bbd-6zbpj                            1/1     Running   0             3m47s   10.244.224.148   noisy-lab   <none>           <none>
